kkr,icd10_3d,cnt
07-RP,C62,783
07-RP,C63,15
07-RP,C64,2709
07-RP,C65,203
07-RP,C66,140
07-RP,C67,3400
07-RP,C68,49
07-RP,C69,53
07-RP,C70,24
07-RP,C71,815
07-RP,C72,39
07-RP,C73,1043
07-RP,C74,25
07-RP,C75,28
07-RP,C76,46
07-RP,C80,225
07-RP,C81,65
07-RP,C82,136
07-RP,C83,254
07-RP,C84,17
07-RP,C85,36
07-RP,C86,13
07-RP,C88,27
07-RP,C90,45
07-RP,C91,33
07-RP,C92,1
07-RP,C96,5
07-RP,D00,62
07-RP,D01,557
07-RP,D02,83
07-RP,D03,1577
07-RP,D05,1548
07-RP,D06,3567
07-RP,D07,286
07-RP,D09,3269
07-RP,D32,893
07-RP,D33,201
07-RP,D35,233
07-RP,D39,339
07-RP,D41,33
07-RP,D42,99
07-RP,D43,125
07-RP,D44,10
07-RP,D46,1
08-BW,C00,257
08-BW,C01,288
08-BW,C02,799
08-BW,C03,463
08-BW,C04,407
08-BW,C05,188
08-BW,C06,313
08-BW,C07,387
08-BW,C08,93
08-BW,C09,572
08-BW,C10,375
08-BW,C11,71
08-BW,C12,74
08-BW,C13,216
08-BW,C14,127
08-BW,C15,1271
08-BW,C16,4173
08-BW,C17,1163
08-BW,C18,16030
08-BW,C19,176
08-BW,C20,6753
08-BW,C21,372
08-BW,C22,1536
08-BW,C23,400
08-BW,C24,1249
08-BW,C25,4231
08-BW,C26,24
08-BW,C30,416
08-BW,C31,163
08-BW,C32,1200
08-BW,C33,8
08-BW,C34,9252
08-BW,C37,275
08-BW,C38,57
08-BW,C39,2
08-BW,C40,169
08-BW,C41,176
08-BW,C43,12926
08-BW,C45,307
08-BW,C46,44
08-BW,C47,74
08-BW,C48,427
08-BW,C49,1415
08-BW,C50,39793
08-BW,C51,1130
08-BW,C52,93
08-BW,C53,1794
08-BW,C54,5808
08-BW,C55,37
08-BW,C56,3026
08-BW,C57,370
08-BW,C58,14
08-BW,C60,350
08-BW,C61,22451
08-BW,C62,2009
08-BW,C63,57
08-BW,C64,6031
08-BW,C65,500
08-BW,C66,335
08-BW,C67,8478
08-BW,C68,582
08-BW,C69,303
08-BW,C70,33
08-BW,C71,2671
08-BW,C72,86
08-BW,C73,2731
08-BW,C74,124
08-BW,C75,224
08-BW,C76,111
08-BW,C80,832
08-BW,C81,445
08-BW,C82,492
08-BW,C83,1289
08-BW,C84,171
08-BW,C85,56
08-BW,C86,99
08-BW,C88,196
08-BW,C90,322
08-BW,C91,67
08-BW,C92,37
08-BW,C93,7
08-BW,C94,1
08-BW,C95,1
08-BW,C96,38
08-BW,D00,129
08-BW,D01,1598
08-BW,D02,239
08-BW,D03,2738
08-BW,D05,3177
08-BW,D06,7517
08-BW,D07,785
08-BW,D09,5349
08-BW,D32,2269
08-BW,D33,648
08-BW,D35,534
08-BW,D39,793
08-BW,D41,84
08-BW,D42,312
08-BW,D43,390
08-BW,D44,51
08-BW,D45,1
08-BW,D46,8
08-BW,D47,5
09-BY,C00,289
09-BY,C01,335
09-BY,C02,923
09-BY,C03,545
09-BY,C04,634
09-BY,C05,238
09-BY,C06,266
09-BY,C07,463
09-BY,C08,131
09-BY,C09,845
09-BY,C10,329
09-BY,C11,36
09-BY,C12,92
09-BY,C13,285
09-BY,C14,38
09-BY,C15,1626
09-BY,C16,5275
09-BY,C17,1559
09-BY,C18,19460
09-BY,C19,227
09-BY,C20,7988
09-BY,C21,491
09-BY,C22,1810
09-BY,C23,449
09-BY,C24,1072
09-BY,C25,4305
09-BY,C26,25
09-BY,C30,412
09-BY,C31,147
09-BY,C32,1251
09-BY,C33,7
09-BY,C34,9325
09-BY,C37,229
09-BY,C38,60
09-BY,C40,231
09-BY,C41,165
09-BY,C43,18725
09-BY,C45,368
09-BY,C46,21
09-BY,C47,49
09-BY,C48,469
09-BY,C49,1631
09-BY,C50,45461
09-BY,C51,1533
09-BY,C52,116
09-BY,C53,2228
09-BY,C54,7143
09-BY,C55,75
09-BY,C56,3765
09-BY,C57,396
09-BY,C58,12
09-BY,C60,473
09-BY,C61,26702
09-BY,C62,2740
09-BY,C63,46
09-BY,C64,8022
09-BY,C65,682
09-BY,C66,471
09-BY,C67,8310
09-BY,C68,145
09-BY,C69,280
09-BY,C70,44
09-BY,C71,3208
09-BY,C72,111
09-BY,C73,4530
09-BY,C74,126
09-BY,C75,75
09-BY,C76,89
09-BY,C80,579
09-BY,C81,144
09-BY,C82,197
09-BY,C83,649
09-BY,C84,65
09-BY,C85,68
09-BY,C86,41
09-BY,C88,104
09-BY,C90,192
09-BY,C91,50
09-BY,C92,107
09-BY,C93,6
09-BY,C94,1
09-BY,C95,3
09-BY,C96,23
09-BY,D00,147
09-BY,D01,946
09-BY,D02,153
09-BY,D03,6655
09-BY,D05,5141
09-BY,D06,10724
09-BY,D07,1013
09-BY,D09,8444
09-BY,D32,2834
09-BY,D33,954
09-BY,D35,1068
09-BY,D39,1318
09-BY,D41,71
09-BY,D42,497
09-BY,D43,556
09-BY,D44,96
09-BY,D45,1
09-BY,D46,24
09-BY,D47,9
10-SL,C00,29
10-SL,C01,22
10-SL,C02,85
10-SL,C03,50
10-SL,C04,48
10-SL,C05,33
10-SL,C06,40
10-SL,C07,23
10-SL,C08,8
10-SL,C09,79
10-SL,C10,43
10-SL,C11,6
10-SL,C12,3
10-SL,C13,36
10-SL,C14,24
10-SL,C15,98
10-SL,C16,429
10-SL,C17,101
10-SL,C18,1749
10-SL,C19,74
10-SL,C20,682
10-SL,C21,52
10-SL,C22,175
10-SL,C23,53
10-SL,C24,113
10-SL,C25,383
10-SL,C26,14
10-SL,C30,42
10-SL,C31,17
10-SL,C32,159
10-SL,C33,1
10-SL,C34,886
10-SL,C37,23
10-SL,C38,2
10-SL,C40,16
10-SL,C41,12
10-SL,C43,1421
10-SL,C45,20
10-SL,C46,4
10-SL,C47,7
10-SL,C48,16
10-SL,C49,161
10-SL,C50,3688
10-SL,C51,233
10-SL,C52,15
10-SL,C53,209
10-SL,C54,568
10-SL,C55,6
10-SL,C56,276
10-SL,C57,22
10-SL,C60,49
10-SL,C61,1617
10-SL,C62,154
10-SL,C63,5
10-SL,C64,554
10-SL,C65,85
10-SL,C66,46
10-SL,C67,852
10-SL,C68,17
10-SL,C69,17
10-SL,C70,5
10-SL,C71,327
10-SL,C72,10
10-SL,C73,279
10-SL,C74,11
