Vitalstatus_YY,Vitalstatus_MM,z_kkr_label,cnt
2023,M12,15-ST,1178
2023,M12,16-TH,907
2024,M01,01-SH,48
2024,M01,02-HH,34
2024,M01,03-NI,6
2024,M01,04-HB,15
2024,M01,06-HE,3059
2024,M01,08-BW,146
2024,M01,09-BY,7023
2024,M01,10-SL,1088
2024,M01,11-BE,2578
2024,M01,12-BB,1893
2024,M01,13-MV,363
2024,M01,14-SN,269
2024,M01,15-ST,2104
2024,M01,16-TH,1038
2024,M02,01-SH,37
2024,M02,02-HH,36
2024,M02,03-NI,7
2024,M02,04-HB,21
2024,M02,06-HE,3157
2024,M02,08-BW,111
2024,M02,09-BY,7527
2024,M02,10-SL,941
2024,M02,11-BE,2495
2024,M02,12-BB,1930
2024,M02,13-MV,218
2024,M02,14-SN,194
2024,M02,15-ST,2071
2024,M02,16-TH,1062
2024,M03,01-SH,50
2024,M03,02-HH,33
2024,M03,03-NI,7
2024,M03,04-HB,22
2024,M03,06-HE,3119
2024,M03,08-BW,127
2024,M03,09-BY,7432
2024,M03,10-SL,968
2024,M03,11-BE,2430
2024,M03,12-BB,1838
2024,M03,13-MV,231
2024,M03,14-SN,208
2024,M03,15-ST,1956
2024,M03,16-TH,975
2024,M04,01-SH,35
2024,M04,02-HH,40
2024,M04,03-NI,5
2024,M04,04-HB,22
2024,M04,06-HE,3154
2024,M04,08-BW,127
2024,M04,09-BY,7943
2024,M04,10-SL,1114
2024,M04,11-BE,2529
2024,M04,12-BB,1982
2024,M04,13-MV,333
2024,M04,14-SN,169
2024,M04,15-ST,2234
2024,M04,16-TH,1226
2024,M05,01-SH,44
2024,M05,02-HH,48
2024,M05,03-NI,8
2024,M05,04-HB,23
2024,M05,06-HE,2920
2024,M05,08-BW,151
2024,M05,09-BY,7380
2024,M05,10-SL,991
2024,M05,11-BE,2535
2024,M05,12-BB,1927
2024,M05,13-MV,243
2024,M05,14-SN,162
2024,M05,15-ST,2048
2024,M05,16-TH,1148
2024,M06,01-SH,63
2024,M06,02-HH,39
2024,M06,03-NI,13
2024,M06,04-HB,21
2024,M06,06-HE,3069
2024,M06,08-BW,136
2024,M06,09-BY,7347
2024,M06,10-SL,1156
2024,M06,11-BE,2602
2024,M06,12-BB,1922
2024,M06,13-MV,308
2024,M06,14-SN,218
2024,M06,15-ST,2322
2024,M06,16-TH,1240
2024,M07,01-SH,66
2024,M07,02-HH,57
2024,M07,03-NI,11
2024,M07,04-HB,25
2024,M07,06-HE,3173
2024,M07,08-BW,174
2024,M07,09-BY,8409
2024,M07,10-SL,1368
2024,M07,11-BE,3137
2024,M07,12-BB,2235
2024,M07,13-MV,392
2024,M07,14-SN,174
2024,M07,15-ST,2265
2024,M07,16-TH,1286
2024,M08,01-SH,66
2024,M08,02-HH,53
2024,M08,03-NI,9
2024,M08,04-HB,25
2024,M08,06-HE,3065
2024,M08,08-BW,161
2024,M08,09-BY,7255
2024,M08,10-SL,1186
2024,M08,11-BE,2580
2024,M08,12-BB,1771
2024,M08,13-MV,237
2024,M08,14-SN,200
2024,M08,15-ST,2604
2024,M08,16-TH,1397
2024,M09,01-SH,66
2024,M09,02-HH,52
2024,M09,03-NI,8
2024,M09,04-HB,29
2024,M09,06-HE,3022
2024,M09,08-BW,151
2024,M09,09-BY,7649
2024,M09,10-SL,1208
2024,M09,11-BE,2614
2024,M09,12-BB,1959
2024,M09,13-MV,316
2024,M09,14-SN,167
2024,M09,15-ST,2540
2024,M09,16-TH,1318
2024,M10,01-SH,68
2024,M10,02-HH,45
2024,M10,03-NI,6
2024,M10,04-HB,26
2024,M10,06-HE,3385
2024,M10,08-BW,146
2024,M10,09-BY,8546
2024,M10,10-SL,1299
2024,M10,11-BE,2906
2024,M10,12-BB,2112
2024,M10,13-MV,642
2024,M10,14-SN,577
2024,M10,15-ST,2649
2024,M10,16-TH,1604
2024,M11,01-SH,52
2024,M11,02-HH,45
2024,M11,03-NI,8
2024,M11,04-HB,18
2024,M11,06-HE,3350
2024,M11,08-BW,132
2024,M11,09-BY,8160
2024,M11,10-SL,1531
2024,M11,11-BE,2600
2024,M11,12-BB,2220
2024,M11,13-MV,372
2024,M11,14-SN,6239
2024,M11,15-ST,2972
2024,M11,16-TH,1738
2024,M12,01-SH,54
2024,M12,02-HH,47756
2024,M12,03-NI,8
2024,M12,04-HB,15
2024,M12,05-NW,737293
2024,M12,06-HE,3028
2024,M12,08-BW,314766
2024,M12,09-BY,7257
2024,M12,10-SL,1508
2024,M12,11-BE,2021
2024,M12,12-BB,1772
2024,M12,13-MV,342
2024,M12,14-SN,5375
2024,M12,15-ST,2250
2024,M12,16-TH,1361
2025,M01,01-SH,62
2025,M01,03-NI,8
2025,M01,04-HB,21
2025,M01,06-HE,2911
2025,M01,07-RP,116199
2025,M01,09-BY,6027
2025,M01,10-SL,913
2025,M01,11-BE,1990
2025,M01,12-BB,1920
2025,M01,13-MV,409
2025,M01,14-SN,18116
2025,M01,15-ST,3153
2025,M01,16-TH,2610
2025,M02,01-SH,55
2025,M02,03-NI,6
2025,M02,04-HB,18
2025,M02,06-HE,2353
2025,M02,09-BY,4671
2025,M02,10-SL,628
2025,M02,11-BE,1225
